formula,AIC,BIC
log(response_time) ~ session_num + (1|id) + (1|stimulus) + (1|id:domain:condition),2618.095890,2651.336432
log(response_time) ~ session_num + (1|id) + (1|id:domain) + (1|id:condition),3638.767377,3672.007919
log(response_time) ~ session_num + (1|id) + (1|id:domain) + (1|stimulus:condition),2959.119523,2992.360065
log(response_time) ~ session_num + (1|id) + (1|id:domain) + (1|id:domain:condition),3641.532859,3674.773401
log(response_time) ~ session_num + (1|id) + (1|id:condition) + (1|stimulus:condition),2978.161035,3011.401577
log(response_time) ~ session_num + (1|id) + (1|id:condition) + (1|id:domain:condition),3666.255050,3699.495592
log(response_time) ~ session_num + (1|id) + (1|stimulus:condition) + (1|id:domain:condition),2955.459275,2988.699817
log(response_time) ~ session_num + (1|stimulus) + (1|id:domain) + (1|id:condition),2602.517079,2635.757621
log(response_time) ~ session_num + (1|stimulus) + (1|id:domain) + (1|stimulus:condition),2634.585853,2667.826395
log(response_time) ~ session_num + (1|stimulus) + (1|id:domain) + (1|id:domain:condition),2618.688509,2651.929051
log(response_time) ~ session_num + (1|stimulus) + (1|id:condition) + (1|stimulus:condition),2679.711694,2712.952236
log(response_time) ~ session_num + (1|stimulus) + (1|id:condition) + (1|id:domain:condition),2644.969651,2678.210193
log(response_time) ~ session_num + (1|stimulus) + (1|stimulus:condition) + (1|id:domain:condition),2689.552583,2722.793125
log(response_time) ~ session_num + (1|id:domain) + (1|id:condition) + (1|stimulus:condition),2942.657810,2975.898352
log(response_time) ~ session_num + (1|id:domain) + (1|id:condition) + (1|id:domain:condition),3644.613593,3677.854135
log(response_time) ~ session_num + (1|id:domain) + (1|stimulus:condition) + (1|id:domain:condition),2958.352762,2991.593304
log(response_time) ~ session_num + (1|id:condition) + (1|stimulus:condition) + (1|id:domain:condition),2978.084628,3011.325170
log(response_time) ~ session_num + (1|id) + (1|stimulus) + (1|id:domain) + (1|id:condition),2591.254317,2630.034950
log(response_time) ~ session_num + (1|id) + (1|stimulus) + (1|id:domain) + (1|stimulus:condition),2620.491043,2659.271675
log(response_time) ~ session_num + (1|id) + (1|stimulus) + (1|id:domain) + (1|id:domain:condition),2604.723315,2643.503947
log(response_time) ~ session_num + (1|id) + (1|stimulus) + (1|id:condition) + (1|stimulus:condition),2654.419036,2693.199668
log(response_time) ~ session_num + (1|id) + (1|stimulus) + (1|id:condition) + (1|id:domain:condition),2619.193377,2657.974009
log(response_time) ~ session_num + (1|id) + (1|stimulus) + (1|stimulus:condition) + (1|id:domain:condition),2619.330099,2658.110732
log(response_time) ~ session_num + (1|id) + (1|id:domain) + (1|id:condition) + (1|stimulus:condition),2933.382527,2972.163159
log(response_time) ~ session_num + (1|id) + (1|id:domain) + (1|id:condition) + (1|id:domain:condition),3640.676886,3679.457518
log(response_time) ~ session_num + (1|id) + (1|id:domain) + (1|stimulus:condition) + (1|id:domain:condition),2945.985525,2984.766157
log(response_time) ~ session_num + (1|id) + (1|id:condition) + (1|stimulus:condition) + (1|id:domain:condition),2955.710224,2994.490856
log(response_time) ~ session_num + (1|stimulus) + (1|id:domain) + (1|id:condition) + (1|stimulus:condition),2604.064336,2642.844968
log(response_time) ~ session_num + (1|stimulus) + (1|id:domain) + (1|id:condition) + (1|id:domain:condition),2604.515346,2643.295978
log(response_time) ~ session_num + (1|stimulus) + (1|id:domain) + (1|stimulus:condition) + (1|id:domain:condition),2620.335886,2659.116518
log(response_time) ~ session_num + (1|stimulus) + (1|id:condition) + (1|stimulus:condition) + (1|id:domain:condition),2646.021042,2684.801674
log(response_time) ~ session_num + (1|id:domain) + (1|id:condition) + (1|stimulus:condition) + (1|id:domain:condition),2944.656670,2983.437302
log(response_time) ~ session_num + (1|id) + (1|stimulus) + (1|id:domain) + (1|id:condition) + (1|stimulus:condition),2592.673768,2636.994491
log(response_time) ~ session_num + (1|id) + (1|stimulus) + (1|id:domain) + (1|id:condition) + (1|id:domain:condition),2593.236850,2637.557572
log(response_time) ~ session_num + (1|id) + (1|stimulus) + (1|id:domain) + (1|stimulus:condition) + (1|id:domain:condition),2606.236428,2650.557150
log(response_time) ~ session_num + (1|id) + (1|stimulus) + (1|id:condition) + (1|stimulus:condition) + (1|id:domain:condition),2620.327984,2664.648706
log(response_time) ~ session_num + (1|id) + (1|id:domain) + (1|id:condition) + (1|stimulus:condition) + (1|id:domain:condition),2935.366100,2979.686823
log(response_time) ~ session_num + (1|stimulus) + (1|id:domain) + (1|id:condition) + (1|stimulus:condition) + (1|id:domain:condition),2606.060990,2650.381713
log(response_time) ~ session_num + (1|id) + (1|stimulus) + (1|id:domain) + (1|id:condition) + (1|stimulus:condition) + (1|id:domain:condition),2594.652852,2644.513665
log(response_time) ~ condition + domain + (1|id),3648.117493,3686.898125
log(response_time) ~ condition + domain + (1|stimulus),3055.408930,3094.189563
log(response_time) ~ condition + domain + (1|id:domain),3658.721074,3697.501706
log(response_time) ~ condition + domain + (1|id:condition),3654.655933,3693.436566
log(response_time) ~ condition + domain + (1|stimulus:condition),3336.427334,3375.207966
log(response_time) ~ condition + domain + (1|id:domain:condition),3689.933674,3728.714307
log(response_time) ~ condition + domain + (1|id) + (1|stimulus),2715.225557,2759.546279
log(response_time) ~ condition + domain + (1|id) + (1|id:domain),3639.492018,3683.812741
log(response_time) ~ condition + domain + (1|id) + (1|id:condition),3636.177683,3680.498406
log(response_time) ~ condition + domain + (1|id) + (1|stimulus:condition),3018.579234,3062.899956
log(response_time) ~ condition + domain + (1|id) + (1|id:domain:condition),3632.945615,3677.266338
log(response_time) ~ condition + domain + (1|stimulus) + (1|id:domain),2675.753359,2720.074082
log(response_time) ~ condition + domain + (1|stimulus) + (1|id:condition),2680.094854,2724.415576
log(response_time) ~ condition + domain + (1|stimulus) + (1|stimulus:condition),3057.395630,3101.716352
log(response_time) ~ condition + domain + (1|stimulus) + (1|id:domain:condition),2693.825877,2738.146600
log(response_time) ~ condition + domain + (1|id:domain) + (1|id:condition),3640.480012,3684.800734
log(response_time) ~ condition + domain + (1|id:domain) + (1|stimulus:condition),3010.230087,3054.550810
log(response_time) ~ condition + domain + (1|id:domain) + (1|id:domain:condition),3652.624067,3696.944789
log(response_time) ~ condition + domain + (1|id:condition) + (1|stimulus:condition),2984.076065,3028.396788
log(response_time) ~ condition + domain + (1|id:condition) + (1|id:domain:condition),3650.983228,3695.303951
log(response_time) ~ condition + domain + (1|stimulus:condition) + (1|id:domain:condition),3017.567900,3061.888623
log(response_time) ~ condition + domain + (1|id) + (1|stimulus) + (1|id:domain),2658.999756,2708.860569
