formula,AIC,BIC
response_time ~ session_num + (1|stimulus),6648.108652,6667.042259
response_time ~ session_num + (1|id:domain),6602.207119,6621.140726
response_time ~ session_num + (1|id:condition),6828.077579,6847.011187
response_time ~ session_num + (1|stimulus:condition),6748.009363,6766.942970
response_time ~ session_num + (1|id:domain:condition),6666.747456,6685.681063
response_time ~ session_num + (1|id) + (1|stimulus),6603.891006,6627.558016
response_time ~ session_num + (1|id) + (1|id:domain),6604.207119,6627.874128
response_time ~ session_num + (1|id) + (1|id:condition),6822.716856,6846.383866
response_time ~ session_num + (1|id) + (1|stimulus:condition),6703.868966,6727.535975
response_time ~ session_num + (1|id) + (1|id:domain:condition),6668.747456,6692.414465
response_time ~ session_num + (1|stimulus) + (1|id:domain),6536.101616,6559.768625
response_time ~ session_num + (1|stimulus) + (1|id:condition),6620.848125,6644.515135
response_time ~ session_num + (1|stimulus) + (1|stimulus:condition),6650.108652,6673.775661
response_time ~ session_num + (1|stimulus) + (1|id:domain:condition),6582.694620,6606.361629
response_time ~ session_num + (1|id:domain) + (1|id:condition),6604.157645,6627.824654
response_time ~ session_num + (1|id:domain) + (1|stimulus:condition),6577.178186,6600.845196
response_time ~ session_num + (1|id:domain) + (1|id:domain:condition),6603.851531,6627.518540
response_time ~ session_num + (1|id:condition) + (1|stimulus:condition),6719.543285,6743.210294
response_time ~ session_num + (1|id:condition) + (1|id:domain:condition),6668.747456,6692.414465
response_time ~ session_num + (1|stimulus:condition) + (1|id:domain:condition),6638.788217,6662.455226
response_time ~ session_num + (1|id) + (1|stimulus) + (1|id:domain),6538.101616,6566.502027
response_time ~ session_num + (1|id) + (1|stimulus) + (1|id:condition),6605.891007,6634.291418
response_time ~ session_num + (1|id) + (1|stimulus) + (1|stimulus:condition),6605.891006,6634.291418
response_time ~ session_num + (1|id) + (1|stimulus) + (1|id:domain:condition),6579.016968,6607.417379
response_time ~ session_num + (1|id) + (1|id:domain) + (1|id:condition),6606.157645,6634.558056
response_time ~ session_num + (1|id) + (1|id:domain) + (1|stimulus:condition),6579.178186,6607.578598
response_time ~ session_num + (1|id) + (1|id:domain) + (1|id:domain:condition),6605.851531,6634.251942
response_time ~ session_num + (1|id) + (1|id:condition) + (1|stimulus:condition),6705.868966,6734.269377
response_time ~ session_num + (1|id) + (1|id:condition) + (1|id:domain:condition),6670.747456,6699.147867
response_time ~ session_num + (1|id) + (1|stimulus:condition) + (1|id:domain:condition),6640.609794,6669.010205
response_time ~ session_num + (1|stimulus) + (1|id:domain) + (1|id:condition),6538.101616,6566.502027
response_time ~ session_num + (1|stimulus) + (1|id:domain) + (1|stimulus:condition),6538.101616,6566.502028
response_time ~ session_num + (1|stimulus) + (1|id:domain) + (1|id:domain:condition),6537.903726,6566.304137
response_time ~ session_num + (1|stimulus) + (1|id:condition) + (1|stimulus:condition),6622.848125,6651.248537
response_time ~ session_num + (1|stimulus) + (1|id:condition) + (1|id:domain:condition),6584.694620,6613.095031
response_time ~ session_num + (1|stimulus) + (1|stimulus:condition) + (1|id:domain:condition),6584.694620,6613.095031
response_time ~ session_num + (1|id:domain) + (1|id:condition) + (1|stimulus:condition),6579.178186,6607.578597
response_time ~ session_num + (1|id:domain) + (1|id:condition) + (1|id:domain:condition),6605.851531,6634.251942
response_time ~ session_num + (1|id:domain) + (1|stimulus:condition) + (1|id:domain:condition),6578.929312,6607.329723
response_time ~ session_num + (1|id:condition) + (1|stimulus:condition) + (1|id:domain:condition),6640.788217,6669.188628
response_time ~ session_num + (1|id) + (1|stimulus) + (1|id:domain) + (1|id:condition),6540.101616,6573.235429
response_time ~ session_num + (1|id) + (1|stimulus) + (1|id:domain) + (1|stimulus:condition),6540.101616,6573.235429
response_time ~ session_num + (1|id) + (1|stimulus) + (1|id:domain) + (1|id:domain:condition),6539.903724,6573.037537
response_time ~ session_num + (1|id) + (1|stimulus) + (1|id:condition) + (1|stimulus:condition),6607.891007,6641.024820
response_time ~ session_num + (1|id) + (1|stimulus) + (1|id:condition) + (1|id:domain:condition),6581.016968,6614.150782
response_time ~ session_num + (1|id) + (1|stimulus) + (1|stimulus:condition) + (1|id:domain:condition),6581.016968,6614.150781
response_time ~ session_num + (1|id) + (1|id:domain) + (1|id:condition) + (1|stimulus:condition),6581.178186,6614.311999
response_time ~ session_num + (1|id) + (1|id:domain) + (1|id:condition) + (1|id:domain:condition),6607.851531,6640.985344
response_time ~ session_num + (1|id) + (1|id:domain) + (1|stimulus:condition) + (1|id:domain:condition),6580.929312,6614.063125
response_time ~ session_num + (1|id) + (1|id:condition) + (1|stimulus:condition) + (1|id:domain:condition),6642.609794,6675.743607
response_time ~ session_num + (1|stimulus) + (1|id:domain) + (1|id:condition) + (1|stimulus:condition),6540.101616,6573.235429
response_time ~ session_num + (1|stimulus) + (1|id:domain) + (1|id:condition) + (1|id:domain:condition),6539.903724,6573.037537
response_time ~ session_num + (1|stimulus) + (1|id:domain) + (1|stimulus:condition) + (1|id:domain:condition),6539.903724,6573.037537
response_time ~ session_num + (1|stimulus) + (1|id:condition) + (1|stimulus:condition) + (1|id:domain:condition),6586.694620,6619.828433
response_time ~ session_num + (1|id:domain) + (1|id:condition) + (1|stimulus:condition) + (1|id:domain:condition),6580.929312,6614.063125
